rank,player,team,games,games_started,mpg,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,reb,ast,stl,blk,tov,pf,pts,game_score,pr,pa,pra
1,Luka Dončić,LAL,4.0,4.0,36.3,12.0,23.5,0.511,4.5,10.3,0.439,9.0,10.3,0.878,1.0,8.3,9.3,9.0,0.5,0.8,4.5,2.5,37.5,30.4,46.8,46.5,55.8
2,Shai Gilgeous-Alexander,OKC,4.0,4.0,36.0,10.8,18.8,0.573,2.3,4.0,0.563,11.5,14.0,0.821,0.3,3.8,4.0,5.8,1.5,0.0,1.3,2.5,35.3,30.0,39.3,41.1,45.1
3,Deni Avdija,POR,4.0,4.0,37.5,7.3,14.5,0.5,2.3,6.0,0.375,13.3,17.3,0.768,1.3,9.0,10.3,9.8,0.5,0.3,3.8,2.8,30.0,27.4,40.3,39.8,50.1
4,Michael Porter Jr.,BRK,2.0,2.0,34.8,11.5,22.0,0.523,6.0,11.5,0.522,5.0,7.0,0.714,1.5,7.0,8.5,4.5,2.0,0.5,2.5,3.5,34.0,27.2,42.5,38.5,47.0
5,Nikola Jokić,DEN,4.0,4.0,34.9,8.3,14.5,0.569,1.8,4.3,0.412,6.8,7.8,0.871,2.5,9.0,11.5,11.5,0.5,1.0,3.8,2.5,25.0,26.7,36.5,36.5,48.0
6,Anthony Edwards,MIN,4.0,4.0,40.2,12.5,22.8,0.549,5.0,10.0,0.5,6.5,8.3,0.788,0.8,3.8,4.5,5.0,0.0,0.5,3.3,2.8,36.5,26.0,41.0,41.5,46.0
7,Austin Reaves,LAL,4.0,4.0,37.3,9.5,14.5,0.655,3.8,6.5,0.577,6.8,7.3,0.931,1.0,5.5,6.5,4.3,1.0,0.3,3.0,2.0,29.5,25.7,36.0,33.8,40.3
8,Jamal Murray,DEN,4.0,4.0,33.8,10.8,17.8,0.606,5.5,8.0,0.688,3.8,4.3,0.882,0.5,3.8,4.3,6.0,0.8,0.3,2.8,1.8,30.8,25.6,35.1,36.8,41.1
9,Jaylen Brown,BOS,4.0,4.0,37.8,12.0,25.3,0.475,2.5,7.0,0.357,7.3,9.3,0.784,1.5,6.5,8.0,6.8,2.3,0.8,4.8,3.3,33.8,24.5,41.8,40.6,48.6
10,Tyrese Maxey,PHI,4.0,4.0,38.7,10.3,22.0,0.466,2.3,8.8,0.257,7.5,8.5,0.882,0.0,5.3,5.3,6.5,1.5,0.8,2.0,2.0,30.3,23.9,35.6,36.8,42.1
11,Donovan Mitchell,CLE,4.0,4.0,35.7,12.5,24.3,0.515,4.3,11.3,0.378,4.8,5.5,0.864,1.3,4.8,6.0,5.5,1.3,0.0,4.0,3.5,34.0,23.7,40.0,39.5,45.5
12,Alperen Şengün,HOU,4.0,4.0,32.7,10.0,18.0,0.556,0.3,2.3,0.111,5.3,7.3,0.724,2.8,4.3,7.0,7.0,2.0,1.3,2.3,3.5,25.5,23.4,32.5,32.5,39.5
13,Jalen Johnson,ATL,4.0,4.0,37.9,7.8,17.0,0.456,2.8,6.8,0.407,8.3,10.8,0.767,2.0,9.5,11.5,8.3,1.0,0.8,4.5,2.5,26.5,22.8,38.0,34.8,46.3
14,Kevin Durant,HOU,3.0,3.0,34.0,9.7,18.3,0.527,2.0,5.0,0.4,5.7,6.3,0.895,0.3,6.0,6.3,5.7,1.0,0.7,2.0,2.0,27.0,22.4,33.3,32.7,39.0
15,Cade Cunningham,DET,5.0,5.0,37.6,10.2,21.4,0.477,2.0,6.4,0.313,6.6,7.8,0.846,1.8,6.2,8.0,7.8,2.0,1.0,5.6,2.4,29.0,22.3,37.0,36.8,44.8
16,Josh Giddey,CHI,4.0,4.0,34.6,8.3,14.3,0.579,2.0,5.0,0.4,4.5,6.8,0.667,1.0,9.5,10.5,8.3,1.0,0.3,3.5,1.0,23.0,22.0,33.5,31.3,41.8
17,Alex Sarr,WAS,2.0,2.0,35.2,9.5,17.0,0.559,1.0,3.0,0.333,5.5,10.0,0.55,2.5,7.5,10.0,0.5,2.0,2.0,1.0,1.5,25.5,21.8,35.5,26.0,36.0
18,Kawhi Leonard,LAC,5.0,5.0,30.2,10.0,20.0,0.5,2.2,5.8,0.379,6.8,7.0,0.971,0.6,5.2,5.8,2.6,1.4,0.0,2.0,1.4,29.0,21.6,34.8,31.6,37.4
19,Evan Mobley,CLE,4.0,4.0,33.8,8.0,15.3,0.525,2.3,5.5,0.409,2.5,2.8,0.909,3.0,7.8,10.8,5.3,1.0,2.3,1.3,2.8,20.8,21.5,31.6,26.1,36.9
20,Scottie Barnes,TOR,4.0,4.0,36.5,8.3,15.8,0.524,2.0,4.3,0.471,6.5,7.3,0.897,2.8,5.8,8.5,5.0,1.0,1.5,4.0,3.3,25.0,20.9,33.5,30.0,38.5
21,Desmond Bane,ORL,4.0,4.0,35.0,9.3,18.0,0.514,1.5,5.0,0.3,5.8,6.0,0.958,1.8,3.0,4.8,4.8,1.0,0.5,1.8,2.8,25.8,20.7,30.6,30.6,35.4
22,De'Aaron Fox,SAS,5.0,5.0,31.9,9.2,19.6,0.469,2.6,6.6,0.394,6.4,7.4,0.865,0.8,2.8,3.6,6.6,1.6,0.4,3.8,2.0,27.4,20.3,31.0,34.0,37.6
23,Josh Hart,NYK,5.0,5.0,36.3,6.4,11.8,0.542,2.6,5.8,0.448,3.6,4.0,0.9,2.6,7.4,10.0,6.6,2.2,0.2,2.6,3.0,19.0,20.3,29.0,25.6,35.6
24,Anthony Davis,DAL,3.0,3.0,29.6,8.7,16.7,0.52,1.3,3.0,0.444,1.7,2.3,0.714,2.3,9.3,11.7,4.3,0.7,2.7,1.3,1.3,20.3,20.0,32.0,24.6,36.3
25,Kevin Porter Jr.,MIL,3.0,3.0,30.2,8.0,14.3,0.558,3.7,6.3,0.579,3.3,3.7,0.909,0.7,2.7,3.3,6.0,2.0,0.3,3.0,2.3,23.0,19.8,26.3,29.0,32.3
26,Zach Edey,MEM,4.0,4.0,31.4,9.0,12.8,0.706,0.0,0.3,0.0,1.3,2.0,0.625,5.3,11.3,16.5,0.8,0.5,2.8,2.5,3.8,19.3,19.6,35.8,20.1,36.6
27,Cooper Flagg,DAL,4.0,4.0,34.5,9.3,16.3,0.569,0.5,2.3,0.222,4.5,5.5,0.818,1.0,6.3,7.3,4.3,1.5,0.5,2.3,2.8,23.5,19.5,30.8,27.8,35.1
28,Deandre Ayton,LAL,3.0,3.0,30.4,7.0,8.7,0.808,0.0,0.0,,3.0,3.3,0.9,2.3,7.3,9.7,1.3,0.7,2.0,0.7,1.0,17.0,19.4,26.7,18.3,28.0
29,Saddiq Bey,NOP,4.0,4.0,36.1,7.3,13.8,0.527,2.3,5.8,0.391,4.0,5.0,0.8,1.3,7.3,8.5,2.8,1.3,0.5,1.0,1.0,20.8,18.8,29.3,23.6,32.1
30,Giannis Antetokounmpo,MIL,4.0,4.0,20.4,8.0,11.5,0.696,0.3,1.3,0.2,5.5,8.8,0.629,2.0,5.8,7.8,3.8,1.0,0.3,2.5,3.3,21.8,18.7,29.6,25.6,33.4
31,Trey Murphy III,NOP,2.0,2.0,39.7,8.0,16.5,0.485,3.0,7.0,0.429,3.5,3.5,1.0,1.5,8.0,9.5,5.0,1.0,0.0,2.0,3.5,22.5,18.7,32.0,27.5,37.0
32,Franz Wagner,ORL,4.0,4.0,32.7,9.0,16.8,0.537,0.5,2.0,0.25,4.5,5.5,0.818,1.3,4.3,5.5,3.0,2.0,0.5,1.8,1.8,23.0,18.6,28.5,26.0,31.5
33,Mikal Bridges,NYK,5.0,5.0,34.7,7.8,12.8,0.609,2.8,5.8,0.483,1.0,1.0,1.0,1.4,3.0,4.4,2.6,2.2,1.2,0.6,3.0,19.4,18.5,23.8,22.0,26.4
34,Karl-Anthony Towns,NYK,5.0,5.0,34.3,8.2,15.6,0.526,1.4,4.2,0.333,5.0,5.8,0.862,3.4,7.2,10.6,3.2,0.4,0.4,2.8,2.6,22.8,18.5,33.4,26.0,36.6
35,Tyler Herro,MIA,4.0,4.0,31.8,7.8,16.0,0.484,3.8,7.3,0.517,4.5,4.8,0.947,0.8,3.3,4.0,2.8,0.8,0.8,1.5,1.3,23.8,18.3,27.8,26.6,30.6
36,Corey Kispert,WAS,1.0,1.0,24.5,6.0,11.0,0.545,4.0,8.0,0.5,3.0,5.0,0.6,0.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,19.0,18.2,22.0,20.0,23.0
37,Lauri Markkanen,UTA,3.0,3.0,35.5,7.7,17.3,0.442,1.7,7.0,0.238,8.0,8.7,0.923,1.3,6.3,7.7,1.0,0.3,0.0,0.7,1.7,25.0,18.2,32.7,26.0,33.7
38,Marvin Bagley III,WAS,2.0,2.0,27.8,7.0,11.0,0.636,0.5,1.5,0.333,3.0,3.0,1.0,5.0,3.0,8.0,1.0,0.0,2.5,0.5,2.5,17.5,18.0,25.5,18.5,26.5
39,CJ McCollum,WAS,4.0,4.0,31.4,9.5,18.3,0.521,3.8,9.0,0.417,1.0,1.8,0.571,0.0,3.3,3.3,3.8,1.0,0.3,0.8,1.3,23.8,18.0,27.1,27.6,30.9
40,James Harden,LAC,5.0,5.0,34.1,6.6,17.2,0.384,3.0,9.8,0.306,7.6,8.2,0.927,0.4,4.8,5.2,8.6,1.4,0.2,4.6,2.4,23.8,17.9,29.0,32.4,37.6
41,Bam Adebayo,MIA,4.0,4.0,30.5,8.0,15.3,0.525,2.0,5.3,0.381,2.0,2.5,0.8,1.5,9.0,10.5,1.8,1.3,1.0,1.5,0.5,20.0,17.6,30.5,21.8,32.3
42,Jalen Brunson,NYK,5.0,5.0,36.5,9.4,21.0,0.448,1.8,6.2,0.29,5.2,6.2,0.839,0.6,2.0,2.6,6.2,1.0,0.0,2.6,1.8,25.8,17.5,28.4,32.0,34.6
43,Derrick White,BOS,3.0,3.0,35.1,7.0,15.0,0.467,4.0,10.3,0.387,3.7,4.3,0.846,0.7,2.7,3.3,4.3,1.3,1.3,2.3,1.7,21.7,17.3,25.0,26.0,29.3
44,Kristaps Porziņģis,ATL,1.0,1.0,21.8,7.0,13.0,0.538,2.0,5.0,0.4,6.0,7.0,0.857,2.0,6.0,8.0,1.0,0.0,0.0,0.0,5.0,22.0,17.2,30.0,23.0,31.0
45,Collin Gillespie,PHO,4.0,3.0,32.4,7.8,15.3,0.508,5.5,10.5,0.524,0.3,0.3,1.0,0.8,1.8,2.5,5.0,1.5,0.3,2.8,1.3,21.3,16.7,23.8,26.3,28.8
46,Mark Williams,PHO,3.0,3.0,25.3,6.7,9.7,0.69,0.0,0.0,,2.3,3.7,0.636,4.7,7.3,12.0,1.7,1.7,0.7,2.3,2.0,15.7,16.7,27.7,17.4,29.4
47,Ryan Nembhard,DAL,4.0,4.0,28.2,7.0,10.8,0.651,3.0,4.5,0.667,0.0,0.0,,0.3,2.5,2.8,7.5,0.5,0.0,1.3,3.0,17.0,16.5,19.8,24.5,27.3
48,Jimmy Butler,GSW,3.0,3.0,28.3,5.0,11.0,0.455,1.0,2.7,0.375,6.0,7.3,0.818,2.0,3.3,5.3,5.3,0.7,0.0,0.7,1.3,17.0,16.4,22.3,22.3,27.6
49,Nickeil Alexander-Walker,ATL,5.0,5.0,35.5,8.2,18.0,0.456,4.2,9.4,0.447,3.2,3.6,0.889,0.6,3.6,4.2,3.2,1.0,0.4,2.2,2.2,23.8,16.3,28.0,27.0,31.2
50,Norman Powell,MIA,3.0,3.0,31.3,8.3,15.0,0.556,3.0,7.0,0.429,3.3,3.7,0.909,0.3,2.7,3.0,2.7,1.0,0.3,2.3,3.3,23.0,16.2,26.0,25.7,28.7
51,P.J. Washington,DAL,1.0,1.0,35.3,9.0,19.0,0.474,2.0,4.0,0.5,2.0,2.0,1.0,4.0,5.0,9.0,1.0,1.0,1.0,2.0,2.0,22.0,16.2,31.0,23.0,32.0
52,Andrew Wiggins,MIA,4.0,4.0,33.4,6.8,14.5,0.466,1.5,4.0,0.375,3.8,4.0,0.938,2.3,3.5,5.8,3.8,1.0,1.5,1.5,2.3,18.8,16.1,24.6,22.6,28.4
53,Tre Jones,CHI,3.0,0.0,28.5,6.7,9.3,0.714,0.7,1.3,0.5,3.7,4.0,0.917,0.0,1.0,1.0,3.0,1.7,0.3,1.7,0.7,17.7,16.0,18.7,20.7,21.7
54,Pascal Siakam,IND,5.0,5.0,31.7,9.0,18.0,0.5,1.0,3.2,0.313,2.6,4.4,0.591,1.6,5.2,6.8,2.6,1.2,0.6,1.0,2.6,21.6,16.0,28.4,24.2,31.0
55,Immanuel Quickley,TOR,4.0,4.0,35.3,7.8,16.0,0.484,3.3,7.8,0.419,1.0,2.5,0.4,0.5,3.3,3.8,8.0,0.5,0.0,2.0,2.0,19.8,15.7,23.6,27.8,31.6
56,Devin Vassell,SAS,5.0,5.0,31.5,8.2,15.8,0.519,3.2,6.8,0.471,1.8,1.8,1.0,0.4,3.8,4.2,1.6,0.8,0.4,0.4,2.8,21.4,15.7,25.6,23.0,27.2
57,Jaylen Wells,MEM,4.0,4.0,29.6,5.3,8.0,0.656,2.8,4.5,0.611,5.0,5.5,0.909,0.8,2.5,3.3,1.5,0.5,0.3,0.8,2.8,18.3,15.7,21.6,19.8,23.1
58,Naji Marshall,DAL,4.0,3.0,32.5,5.5,9.5,0.579,1.5,3.8,0.4,2.8,2.8,1.0,2.3,4.5,6.8,3.8,1.5,0.3,1.0,3.5,15.3,15.6,22.1,19.1,25.9
59,Coby White,CHI,1.0,1.0,29.2,11.0,23.0,0.478,1.0,6.0,0.167,2.0,3.0,0.667,1.0,1.0,2.0,4.0,0.0,0.0,0.0,3.0,25.0,15.5,27.0,29.0,31.0
60,Neemias Queta,BOS,2.0,2.0,24.9,5.5,6.0,0.917,0.0,0.0,,2.5,4.0,0.625,5.0,7.0,12.0,0.0,0.0,1.0,1.0,2.0,13.5,15.4,25.5,13.5,25.5
61,Jaylon Tyson,CLE,4.0,3.0,29.8,6.3,12.5,0.5,2.8,5.8,0.478,1.5,2.3,0.667,3.5,2.8,6.3,2.0,1.5,0.5,0.5,2.5,16.8,15.2,23.1,18.8,25.1
62,Steven Adams,HOU,2.0,0.0,17.4,3.5,5.0,0.7,0.0,0.0,,5.0,6.0,0.833,4.5,5.5,10.0,1.0,0.5,1.5,1.5,0.0,12.0,15.1,22.0,13.0,23.0
63,Chet Holmgren,OKC,4.0,4.0,30.2,7.3,13.0,0.558,1.5,3.0,0.5,2.8,3.8,0.733,1.5,7.0,8.5,1.8,0.5,1.3,1.5,3.5,18.8,15.0,27.3,20.6,29.1
64,Rudy Gobert,MIN,4.0,4.0,31.1,4.8,6.3,0.76,0.0,0.0,,3.3,5.5,0.591,2.8,7.5,10.3,2.5,0.3,1.0,0.3,2.8,12.8,14.9,23.1,15.3,25.6
65,Isaiah Hartenstein,OKC,1.0,1.0,28.1,6.0,10.0,0.6,0.0,0.0,,3.0,6.0,0.5,2.0,5.0,7.0,2.0,1.0,1.0,0.0,1.0,15.0,14.8,22.0,17.0,24.0
66,Devin Booker,PHO,4.0,4.0,30.7,5.0,13.3,0.377,1.3,5.5,0.227,7.5,8.5,0.882,1.0,4.3,5.3,5.5,0.8,0.3,2.0,2.8,18.8,14.7,24.1,24.3,29.6
67,A.J. Green,MIL,5.0,5.0,33.9,5.0,8.6,0.581,4.8,8.4,0.571,0.6,0.6,1.0,0.0,4.0,4.0,3.8,1.0,0.4,1.0,2.0,15.4,14.7,19.4,19.2,23.2
68,Seth Curry,GSW,1.0,0.0,17.9,6.0,7.0,0.857,2.0,3.0,0.667,0.0,0.0,,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,14.0,14.5,16.0,16.0,18.0
69,Payton Pritchard,BOS,4.0,4.0,31.6,7.0,14.8,0.475,3.0,8.3,0.364,2.3,2.3,1.0,0.5,3.8,4.3,3.0,0.5,0.5,1.0,1.8,19.3,14.5,23.6,22.3,26.6
70,Jusuf Nurkić,UTA,3.0,3.0,23.7,6.0,10.0,0.6,0.7,1.0,0.667,1.0,2.7,0.375,2.3,6.3,8.7,6.7,1.0,0.3,1.7,4.7,13.7,14.3,22.4,20.4,29.1
71,Anthony Black,ORL,4.0,0.0,30.2,7.0,14.8,0.475,1.8,4.3,0.412,3.3,5.0,0.65,0.8,4.5,5.3,3.8,1.0,0.8,2.3,1.5,19.0,14.0,24.3,22.8,28.1
72,Keegan Murray,SAC,4.0,4.0,39.1,5.8,14.3,0.404,1.0,6.0,0.167,2.3,3.0,0.75,2.5,5.3,7.8,2.0,2.8,2.0,0.8,2.3,14.8,14.0,22.6,16.8,24.6
73,Julius Randle,MIN,4.0,4.0,33.4,5.8,13.8,0.418,1.8,5.8,0.304,2.8,3.8,0.733,2.0,5.0,7.0,7.0,1.0,0.3,2.5,2.0,16.0,14.0,23.0,23.0,30.0
74,Nikola Vučević,CHI,4.0,4.0,32.1,6.5,14.0,0.464,1.3,4.5,0.278,2.0,2.5,0.8,3.5,7.5,11.0,3.5,1.5,0.0,2.5,2.5,16.3,14.0,27.3,19.8,30.8
75,Ivica Zubac,LAC,5.0,5.0,35.5,6.0,11.2,0.536,0.0,0.0,,1.6,2.4,0.667,3.4,9.2,12.6,4.0,0.4,1.2,1.8,3.0,13.6,14.0,26.2,17.6,30.2
76,Zion Williamson,NOP,2.0,2.0,31.6,7.5,15.5,0.484,0.0,1.5,0.0,6.0,6.5,0.923,1.5,4.5,6.0,4.0,0.0,1.0,4.0,2.5,21.0,13.9,27.0,25.0,31.0
77,Jalen Williams,OKC,3.0,3.0,32.1,6.3,15.3,0.413,0.3,1.7,0.2,3.3,3.3,1.0,0.0,5.0,5.0,6.3,1.0,1.7,1.7,2.0,16.3,13.8,21.3,22.6,27.6
78,Quentin Grimes,PHI,3.0,2.0,38.8,5.7,14.7,0.386,1.3,6.0,0.222,5.7,6.0,0.944,2.0,3.3,5.3,5.7,1.3,0.0,3.7,2.0,18.3,13.4,23.6,24.0,29.3
79,Miles McBride,NYK,5.0,5.0,35.5,4.6,8.4,0.548,4.0,6.4,0.625,2.0,2.2,0.909,0.8,2.2,3.0,2.6,0.8,0.0,1.0,2.4,15.2,13.0,18.2,17.8,20.8
80,Ryan Rollins,MIL,5.0,5.0,36.3,6.6,14.4,0.458,2.4,7.4,0.324,1.4,2.0,0.7,0.6,3.4,4.0,5.6,1.8,0.6,3.0,2.6,17.0,12.9,21.0,22.6,26.6
81,Collin Sexton,CHO,5.0,0.0,20.7,5.2,9.2,0.565,0.8,2.4,0.333,3.4,3.6,0.944,0.8,1.8,2.6,2.8,1.0,0.8,1.6,0.6,14.6,12.9,17.2,17.4,20.0
82,Nic Claxton,BRK,4.0,4.0,32.8,4.5,8.0,0.563,0.3,1.0,0.25,2.3,3.3,0.692,2.0,5.3,7.3,4.8,1.0,1.3,2.0,1.8,11.5,12.8,18.8,16.3,23.6
83,Jalen Duren,DET,4.0,4.0,29.9,5.5,9.3,0.595,0.0,0.0,,3.3,4.3,0.765,4.8,6.5,11.3,1.5,0.5,1.0,3.0,3.3,14.3,12.8,25.6,15.8,27.1
84,Keldon Johnson,SAS,5.0,0.0,24.8,4.8,8.6,0.558,1.0,3.0,0.333,3.6,4.8,0.75,1.4,5.8,7.2,2.2,0.6,0.0,1.0,1.8,14.2,12.8,21.4,16.4,23.6
85,Amen Thompson,HOU,4.0,4.0,35.7,5.5,13.0,0.423,0.0,1.8,0.0,3.5,4.5,0.778,3.3,7.3,10.5,5.5,1.0,0.8,3.0,3.0,14.5,12.8,25.0,20.0,30.5
86,Toumani Camara,POR,4.0,4.0,34.8,5.3,11.3,0.467,4.0,9.0,0.444,2.3,3.3,0.692,2.0,4.3,6.3,2.8,0.3,1.0,2.3,3.3,16.8,12.6,23.1,19.6,25.9
87,Donte DiVincenzo,MIN,4.0,4.0,33.2,5.3,12.0,0.438,3.8,9.3,0.405,0.5,1.0,0.5,1.0,3.3,4.3,4.8,1.0,0.3,1.0,2.0,14.8,12.6,19.1,19.6,23.9
88,Cam Spencer,MEM,4.0,0.0,21.7,5.0,8.0,0.625,3.0,4.5,0.667,1.5,1.5,1.0,0.0,1.3,1.3,5.0,0.8,0.3,2.5,1.8,14.5,12.5,15.8,19.5,20.8
89,Peyton Watson,DEN,4.0,4.0,33.1,4.5,9.3,0.486,1.0,3.3,0.308,3.0,3.3,0.923,1.0,4.8,5.8,2.3,0.5,1.8,0.3,2.3,13.0,12.5,18.8,15.3,21.1
90,LaMelo Ball,CHO,5.0,5.0,28.8,6.2,17.0,0.365,2.6,8.4,0.31,2.4,2.8,0.857,1.0,4.6,5.6,8.0,0.8,0.4,3.0,3.2,17.4,12.3,23.0,25.4,31.0
91,John Collins,LAC,5.0,5.0,32.0,5.8,11.0,0.527,1.0,3.6,0.278,2.2,2.6,0.846,2.0,4.2,6.2,1.0,0.6,1.0,0.8,2.0,14.8,12.3,21.0,15.8,22.0
92,Malik Monk,SAC,4.0,0.0,26.7,6.5,13.8,0.473,2.5,5.8,0.435,1.0,1.3,0.8,0.5,2.5,3.0,3.3,1.3,0.8,1.5,1.8,16.5,12.3,19.5,19.8,22.8
93,Dyson Daniels,ATL,5.0,5.0,37.0,5.8,12.0,0.483,0.2,2.0,0.1,0.8,1.8,0.444,2.4,4.4,6.8,6.2,2.2,0.0,2.6,2.2,12.6,12.2,19.4,18.8,25.6
94,Reed Sheppard,HOU,4.0,3.0,29.9,5.3,12.0,0.438,2.3,6.0,0.375,0.8,1.0,0.75,0.5,5.3,5.8,3.0,1.8,1.5,1.3,1.3,13.5,12.2,19.3,16.5,22.3
95,T.J. McConnell,IND,5.0,0.0,18.2,5.6,9.8,0.571,0.0,0.8,0.0,0.0,0.0,,0.2,3.0,3.2,5.4,1.6,0.6,0.8,1.6,11.2,12.0,14.4,16.6,19.8
